x= 235.9 y=  39.1 sz=20.0 #4682b4 B | Annotated CRF
x= 238.7 y= 512.9 sz=10.0 black     | O Positive (Comment Required) (Activates Line  44)
x= 238.7 y= 529.9 sz=10.0 black     | [LBORRES] SAS:[Name=LBORRES, Length=50, DataType=Char]
x=  29.9 y= 546.9 sz=10.0 #4682b4 B | Comment:
x=  29.9 y= 569.6 sz=10.0 black     | Day 0 (0), -00:00.00
x= 167.7 y= 569.6 sz=10.0 black   B | Urine Drug Screen: Tricyclic Antidepressants #1
x= 488.4 y= 569.6 sz=10.0 black     | 38.0
x=  29.9 y= 586.6 sz=10.0 black     | _ _ - _ _ _ - _ _ _ _
x= 116.7 y= 586.6 sz=10.0 black     | _ _ : _ _
x= 167.7 y= 586.6 sz=10.0 black   B | Drugs of abuse - Tricyclic Antidepressants  (TCA)
x=  29.9 y= 598.7 sz=10.0 black     | dd - MMM - yyyy
x= 116.7 y= 598.7 sz=10.0 black     | HH:mm
x=  30.9 y= 613.9 sz=10.0 #4682b4 B | Staff Initials:
x= 167.7 y= 629.9 sz=10.0 #4682b4 B | Answer(s):
x= 238.7 y= 629.9 sz=10.0 black     | O Negative
x= 238.7 y= 646.9 sz=10.0 black     | [LBORRES] SAS:[Name=LBORRES, Length=50, DataType=Char]
x= 238.7 y= 664.0 sz=10.0 black     | O Positive (Comment Required) (Activates Line  44)
x= 238.7 y= 681.0 sz=10.0 black     | [LBORRES] SAS:[Name=LBORRES, Length=50, DataType=Char]
x=  29.9 y= 697.9 sz=10.0 #4682b4 B | Comment:
x=  29.9 y= 720.6 sz=10.0 black     | Day 0 (0), -00:00.00
x= 167.7 y= 720.6 sz=10.0 black   B | Urine Drug Screen: Cocaine #1
x= 488.4 y= 720.6 sz=10.0 black     | 39.0
x=  29.9 y= 749.6 sz=10.0 black     | Date Created: 30-Sep-2024 08:27 (UTC)
x= 506.4 y= 749.6 sz=10.0 black     | Page 11 of 489
