doc,kind,calls,s,tokens_in,tokens_out,cost_usd,method
crf_forms_384-201-00002_Annotated_Unique_CRF_04Nov2024,generate,1,28.528,6872,2452,0.0574,tiktoken:o200k_base
crf_forms_384-201-00002_Annotated_Unique_CRF_04Nov2024,revise_audit,1,20.078,3144,2532,0.0474,tiktoken:o200k_base
crf_forms_384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,audit,3,6.775,29818,655,0.0993,tiktoken:o200k_base
crf_forms_384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,confirm,1,21.657,6573,2745,0.0609,tiktoken:o200k_base
crf_forms_384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,generate,1,26.619,10118,2225,0.0637,tiktoken:o200k_base
crf_forms_384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,revise_audit,2,40.508,7266,6241,0.1154,tiktoken:o200k_base
crf_forms_384-201-00004_Annotated_CRF___v2.0_20_May_2025,audit,3,7.361,30523,766,0.1031,tiktoken:o200k_base
crf_forms_384-201-00004_Annotated_CRF___v2.0_20_May_2025,confirm,1,0.851,6903,4,0.0208,tiktoken:o200k_base
crf_forms_384-201-00004_Annotated_CRF___v2.0_20_May_2025,generate,1,32.194,9115,2635,0.0669,tiktoken:o200k_base
crf_forms_384-201-00004_Annotated_CRF___v2.0_20_May_2025,revise_audit,2,50.803,6849,5921,0.1094,tiktoken:o200k_base
crf_forms_384-201-00004_aCRF_16JAN2025,audit,3,6.774,36140,634,0.1179,tiktoken:o200k_base
crf_forms_384-201-00004_aCRF_16JAN2025,confirm,1,0.674,3682,4,0.0111,tiktoken:o200k_base
crf_forms_384-201-00004_aCRF_16JAN2025,generate,1,19.772,9059,1454,0.049,tiktoken:o200k_base
crf_forms_384-201-00004_aCRF_16JAN2025,revise_audit,2,38.039,4804,4877,0.0876,tiktoken:o200k_base
crf_forms_MAC186_X11-201-00001_eCRF_v1.10_form_tracker_v1.6_06Mar2025,audit,3,7.383,16362,617,0.0583,tiktoken:o200k_base
crf_forms_MAC186_X11-201-00001_eCRF_v1.10_form_tracker_v1.6_06Mar2025,confirm,1,13.579,7866,2181,0.0563,tiktoken:o200k_base
crf_forms_MAC186_X11-201-00001_eCRF_v1.10_form_tracker_v1.6_06Mar2025,generate,1,34.005,10296,2525,0.0688,tiktoken:o200k_base
crf_forms_MAC186_X11-201-00001_eCRF_v1.10_form_tracker_v1.6_06Mar2025,revise_audit,3,84.822,10139,10917,0.1942,tiktoken:o200k_base
crf_forms_QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,3,11.908,34563,1306,0.1233,tiktoken:o200k_base
crf_forms_QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,generate,1,28.247,8163,2024,0.0548,tiktoken:o200k_base
crf_forms_QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,revise_audit,2,53.13,7316,6334,0.117,tiktoken:o200k_base
crf_forms_annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,2,6.738,18145,800,0.0664,tiktoken:o200k_base
crf_forms_annotatedCRF_33120100246-_v1.0_-17Aug2021,confirm,1,15.466,6372,2195,0.052,tiktoken:o200k_base
crf_forms_annotatedCRF_33120100246-_v1.0_-17Aug2021,generate,1,25.512,12880,1964,0.0681,tiktoken:o200k_base
crf_forms_annotatedCRF_33120100246-_v1.0_-17Aug2021,revise_audit,1,39.494,3036,4188,0.0719,tiktoken:o200k_base
