x= 235.9 y=  39.1 sz=20.0 #4682b4 B | Annotated CRF
x=  30.9 y= 468.6 sz=10.0 #4682b4 B | Staff Initials:
x=  29.9 y= 484.5 sz=10.0 #4682b4 B | Comment:
x=  29.9 y= 507.2 sz=10.0 black     | Day 0 (0), -00:00.00
x= 167.7 y= 507.2 sz=10.0 black   B | Safety: Chemistry and Virology Medic Assessment #1
x= 488.4 y= 507.2 sz=10.0 black     | 76.1 (hidden)
x=  29.9 y= 524.2 sz=10.0 black     | _ _ - _ _ _ - _ _ _ _
x= 116.7 y= 524.2 sz=10.0 black     | _ _ : _ _
x= 167.7 y= 524.2 sz=10.0 black   B | Has there been a medic review of the Clinical Chemistry and Virology blood results?
x=  29.9 y= 536.4 sz=10.0 black     | dd - MMM - yyyy
x= 116.7 y= 536.4 sz=10.0 black     | HH:mm
x=  30.9 y= 551.6 sz=10.0 #4682b4 B | Staff Initials:
x= 167.7 y= 567.6 sz=10.0 #4682b4 B | Answer(s):
x= 238.7 y= 567.6 sz=10.0 black     | O Yes
x= 238.7 y= 584.5 sz=10.0 black     | O No (Comment Required)
x=  29.9 y= 601.6 sz=10.0 #4682b4 B | Comment:
x=  29.9 y= 624.2 sz=10.0 black     | Day 0 (0), -00:00.00
x= 167.7 y= 624.2 sz=10.0 black   B | Safety: Chemistry and Virology (Including Serum Pregnancy Test) #1
x= 488.4 y= 624.2 sz=10.0 black     | 77.0 (hidden)
x=  29.9 y= 641.3 sz=10.0 black     | _ _ - _ _ _ - _ _ _ _
x= 116.7 y= 641.3 sz=10.0 black     | _ _ : _ _
x= 167.7 y= 641.3 sz=10.0 black   B | Chemistry and Virology (Including Serum Pregnancy Test) – Mix tube gently by inverting 5–6
x=  29.9 y= 653.5 sz=10.0 black     | dd - MMM - yyyy
x= 116.7 y= 653.5 sz=10.0 black     | HH:mm
x= 167.7 y= 653.5 sz=10.0 black   B | times (5 mL SST)
x= 167.7 y= 667.6 sz=10.0 #4682b4 B | Barcode:
x= 238.7 y= 667.6 sz=10.0 black     | SMP _  _  _  _  _  _  _  _  _
x=  30.9 y= 668.6 sz=10.0 #4682b4 B | Staff Initials:
x=  29.9 y= 684.6 sz=10.0 #4682b4 B | Comment:
x=  29.9 y= 707.3 sz=10.0 black     | Day 0 (0), -00:00.00
x= 167.7 y= 707.3 sz=10.0 black   B | Safety: Chemistry and Virology/Serum Preg Medic Assessment #1
x= 488.4 y= 707.3 sz=10.0 black     | 77.1 (hidden)
x=  29.9 y= 749.6 sz=10.0 black     | Date Created: 30-Sep-2024 08:27 (UTC)
x= 506.4 y= 749.6 sz=10.0 black     | Page 28 of 112
